Timestamp    Ch1          Ch2          Ch3         
-0.000208    -0.001382    0.051104     0.050932    
-0.000204    -0.000980    0.051104     0.050530    
-0.000200    -0.000980    0.050903     0.050932    
-0.000196    -0.001181    0.051305     0.050731    
-0.000192    -0.001181    0.051104     0.050731    
-0.000188    -0.000980    0.051305     0.050731    
-0.000184    -0.000779    0.000250     0.050932    
-0.000180    -0.000980    0.051506     0.050932    
-0.000176    -0.001181    0.051506     0.050731    
-0.000172    -0.000779    0.051104     0.050932    
-0.000168    -0.001181    0.051305     0.050530    
-0.000164    -0.000980    0.051305     0.050530    
-0.000160    -0.000980    0.050903     0.050731    
-0.000156    -0.000980    0.000250     0.050932    
-0.000152    -0.001181    0.000250     0.050932    
-0.000148    -0.000980    0.051305     0.050932    
-0.000144    -0.000980    0.051506     0.050329    
-0.000140    -0.000578    0.051506     0.050932    
-0.000136    -0.000779    0.051506     0.050932    
-0.000132    -0.000779    0.051104     0.050932    
-0.000128    -0.001181    0.051305     0.050932    
-0.000124    -0.000980    0.051506     0.050530    
-0.000120    -0.000779    0.051104     0.050932    
-0.000116    -0.000980    0.051506     0.050932    
-0.000112    -0.000980    0.051305     0.050932    
-0.000108    -0.000779    0.051104     0.050932    
-0.000104    -0.001382    0.051104     0.050731    
-0.000100    -0.001181    0.051506     0.050731    
-0.000096    -0.000980    0.050903     0.050731    
-0.000092    -0.000980    0.051104     0.050530    
-0.000088    -0.000779    0.051104     0.050530    
-0.000084    -0.000980    0.050903     0.051133    
-0.000080    -0.000980    0.051104     0.050731    
-0.000076    -0.001181    0.051104     0.050731    
-0.000072    -0.000980    0.051305     0.050731    
-0.000068    -0.001382    0.051104     0.050932    
-0.000064    -0.000980    0.051305     0.050932    
-0.000060    -0.000980    0.051305     0.050731    
-0.000056    -0.000980    0.051104     0.050731    
-0.000052    -0.001181    0.051104     0.051133    
-0.000048    -0.000980    0.051305     0.050932    
-0.000044    -0.000779    0.051104     0.050932    
-0.000040    -0.000779    0.051104     0.050731    
-0.000036    -0.000980    0.051104     0.050932    
-0.000032    -0.001382    0.051305     0.050731    
-0.000028    -0.000779    0.051305     0.050932    
-0.000024    -0.001181    0.000250     0.050530    
-0.000020    -0.001181    0.000250     0.050731    
-0.000016    -0.000980    0.051305     0.050530    
-0.000012    -0.001181    0.051305     0.050731    
-0.000008    -0.001382    0.051305     0.051133    
-0.000004    -0.000779    0.051506     0.050932    
0.000000     -0.000980    0.051506     0.050932    
0.000004     -0.000779    0.051104     0.050932    
0.000008     -0.000980    0.051305     0.050731    
0.000012     -0.000980    0.050903     0.050731    
0.000016     -0.000980    0.051104     0.050530    
0.000020     -0.000779    0.050702     0.050932    
0.000024     -0.000980    0.051305     0.051133    
0.000028     -0.000980    0.050903     0.050932    
0.000032     -0.000578    0.051104     0.051334    
0.000036     -0.001181    0.051104     0.050731    
0.000040     -0.001181    0.051104     0.050530    
0.000044     -0.000980    0.051506     0.050731    
0.000048     -0.001181    0.051305     0.051133    
0.000052     -0.000980    0.051305     0.050932    
0.000056     -0.001181    0.051104     0.051133    
0.000060     -0.000980    0.051506     0.051133    
0.000064     -0.001181    0.051104     0.050932    
0.000068     -0.000779    0.000250     0.050932    
0.000072     -0.001181    0.051305     0.050731    
0.000076     -0.000779    0.050903     0.050731    
0.000080     -0.001382    0.051506     0.050731    
0.000084     -0.000980    0.051104     0.050530    
0.000088     -0.000980    0.051305     0.050731    
0.000092     -0.000980    0.051506     0.051334    
0.000096     -0.001181    0.051104     0.051133    
0.000100     -0.000980    0.051104     0.050932    
0.000104     -0.000779    0.051506     0.050932    
0.000108     -0.000980    0.051305     0.050731    
0.000112     -0.001181    0.051305     0.050932    
0.000116     -0.000980    0.051305     0.051133    
0.000120     -0.000779    0.050903     0.051133    
0.000124     -0.001181    0.051305     0.050932    
0.000128     -0.001181    0.051506     0.050932    
0.000132     -0.000980    0.051104     0.051133    
0.000136     -0.001181    0.051104     0.050731    
0.000140     -0.000779    0.051506     0.050932    
0.000144     -0.000980    0.051104     0.050932    
0.000148     -0.000980    0.051104     0.050932    
0.000152     -0.000779    0.051305     0.050932    
0.000156     -0.000980    0.051305     0.050329    
0.000160     -0.001382    0.051506     0.050329    
0.000164     -0.000980    0.051305     0.050530    
0.000168     -0.001382    0.051104     0.050530    
0.000172     -0.000779    0.051305     0.050530    
0.000176     -0.001181    0.051305     0.050731    
0.000180     -0.001181    0.051305     0.050932    
0.000184     -0.000980    0.050903     0.050731    
0.000188     -0.000980    0.051506     0.051133    
0.000192     -0.001181    0.051506     0.051133    
0.000196     -0.000578    0.051506     0.050932    
0.000200     -0.001181    0.051506     0.050932    
0.000204     -0.001181    0.051104     0.050731    
0.000208     -0.001181    0.050903     0.050932    
0.000212     -0.000779    0.051104     0.050731    
0.000216     -0.000779    0.050903     0.050731    
0.000220     -0.000980    0.050903     0.050932    
0.000224     -0.000980    0.000250     0.050932    
0.000228     -0.000980    0.050903     0.050530    
0.000232     -0.000980    0.051104     0.051133    
0.000236     -0.000980    0.051104     0.050530    
0.000240     -0.000980    0.051305     0.050731    
0.000244     -0.000779    0.051305     0.050530    
0.000248     -0.000779    0.051506     0.050530    
0.000252     -0.000779    0.051305     0.050329    
0.000256     -0.000980    0.051506     0.050731    
0.000260     -0.000980    0.050903     0.050731    
0.000264     -0.001181    0.051506     0.050530    
0.000268     -0.000980    0.051305     0.050932    
0.000272     -0.000980    0.051104     0.051133    
0.000276     -0.000779    0.050903     0.050731    
0.000280     -0.000779    0.051104     0.051133    
0.000284     -0.000779    0.051104     0.050731    
0.000288     -0.001181    0.051104     0.050530    
0.000292     -0.000980    0.050903     0.051133    
0.000296     -0.001181    0.051104     0.050731    
0.000300     -0.000980    0.051104     0.050731    
0.000304     -0.000980    0.051104     0.051133    
0.000308     -0.000980    0.051305     0.050731    
0.000312     -0.001382    0.051506     0.050731    
0.000316     -0.001382    0.051305     0.050731    
0.000320     -0.000980    0.051506     0.050530    
0.000324     -0.000980    0.051104     0.050932    
0.000328     -0.000578    0.051506     0.050731    
0.000332     -0.000980    0.051506     0.050731    
0.000336     -0.001181    0.050903     0.050932    
0.000340     -0.001181    0.051305     0.050932    
0.000344     -0.000980    0.000451     0.050932    
0.000348     -0.000779    0.051506     0.050731    
0.000352     -0.000980    0.051305     0.050932    
0.000356     -0.001181    0.051506     0.051334    
0.000360     -0.001181    0.051104     0.050932    
0.000364     -0.000980    0.051104     0.050932    
0.000368     -0.001181    0.051104     0.050932    
0.000372     -0.001181    0.050903     0.050530    
0.000376     -0.001382    0.051305     0.050329    
0.000380     -0.000980    0.051305     0.050731    
0.000384     -0.000779    0.000250     0.050530    
0.000388     -0.000980    0.051104     0.050731    
0.000392     -0.000779    0.051305     0.050932    
0.000396     -0.001181    0.051305     0.050731    
0.000400     -0.000779    0.051506     0.050731    
0.000404     -0.000980    0.051305     0.050731    
0.000408     -0.000779    0.051104     0.050731    
0.000412     -0.000980    0.051506     0.050932    
0.000416     -0.000980    0.051305     0.050932    
0.000420     -0.001382    0.051104     0.050731    
0.000424     -0.001784    0.051305     0.050329    
0.000428     -0.000779    0.051104     0.050530    
0.000432     -0.000980    0.051305     0.050731    
0.000436     -0.000980    0.051506     0.050932    
0.000440     -0.000980    0.051305     0.050731    
0.000444     -0.000779    0.051305     0.051133    
0.000448     -0.000980    0.051305     0.051133    
0.000452     -0.001181    0.051305     0.050731    
0.000456     -0.000779    0.051506     0.050932    
0.000460     -0.001181    0.051506     0.050932    
0.000464     -0.001382    0.051104     0.050932    
0.000468     -0.001181    0.050903     0.050530    
0.000472     -0.000578    0.051506     0.050731    
0.000476     -0.000779    0.051506     0.050932    
0.000480     -0.000980    0.051104     0.050530    
0.000484     -0.001181    0.051104     0.051133    
0.000488     -0.001181    0.051305     0.050731    
0.000492     -0.000779    0.051104     0.050731    
0.000496     -0.002990    0.002260     0.006510    
